District,Republican,Democrat,Projected Margin,Republican Odds,Democratic Odds,Rating
OK-04,Tom Cole*,Mitchell Jacob,R+29.5,100.00%,0.00%,Safe R
OK-05,Stephanie Bice*,Jena Nelson,R+15.3,98.58%,1.42%,Safe R
OR-01,Barbara Kahl,Suzanne Bonamici*,D+45.0,0.00%,100.00%,Safe D
OR-02,Cliff Bentz*,Chris Beck,R+24.7,99.98%,0.02%,Safe R
OR-03,Loran Ayles,Maxine Dexter*,D+50.4,0.00%,100.00%,Safe D
OR-04,Monique DeSpain,Val Hoyle*,D+16.4,0.95%,99.05%,Safe D
OR-05,Patti Adair,Janelle Bynum*,D+16.6,0.89%,99.11%,Safe D
OR-06,David Russ,Andrea Salinas*,D+16.6,0.90%,99.10%,Safe D
PA-01,Brian Fitzpatrick*,Bob Harvie,R+2.9,65.96%,34.04%,Lean R
PA-02,Jessica Arriaga,Brendan Boyle*,D+45.7,0.00%,100.00%,Safe D
PA-03,Republican Nominee,Chris Rabb,D+75.9,0.00%,100.00%,Safe D
PA-04,Aurora Stuski,Madeleine Dean*,D+24.3,0.03%,99.97%,Safe D
PA-05,Nicholas Manganaro,Mary Gay Scanlon*,D+36.2,0.00%,100.00%,Safe D
PA-06,Marty Young,Chrissy Houlahan*,D+18.8,0.36%,99.64%,Safe D
PA-07,Ryan Mackenzie*,Bob Brooks,D+2.3,37.34%,62.66%,Lean D
PA-08,Rob Bresnahan*,Paige Cognetti,R+0.2,50.85%,49.15%,Toss-up
PA-09,Dan Meuser*,Rachel Wallace,R+33.1,100.00%,0.00%,Safe R
PA-10,Scott Perry*,Janelle Stelson,D+5.4,22.11%,77.89%,Likely D
PA-11,Lloyd Smucker*,Nancy Mannion,R+18.6,99.60%,0.40%,Safe R
PA-12,James Hayes,Summer Lee*,D+20.8,0.15%,99.85%,Safe D
PA-13,John Joyce*,Beth Farnham,R+40.2,100.00%,0.00%,Safe R
PA-14,Guy Reschenthaler*,Alan Bradstock,R+26.2,99.99%,0.01%,Safe R
PA-15,Glenn Thompson*,Ray Bilger,R+34.3,100.00%,0.00%,Safe R
PA-16,Mike Kelly*,Justin Wagner,R+19.8,99.77%,0.23%,Safe R
PA-17,Tony Guy,Chris Deluzio*,D+14.5,1.90%,98.10%,Likely D
RI-01,Republican Nominee,Gabe Amo*,D+35.1,0.00%,100.00%,Safe D
RI-02,Republican Nominee,Seth Magaziner*,D+19.8,0.23%,99.77%,Safe D
SC-01,Jenny Costa Honeycutt,Nancy Lacore,R+4.9,75.76%,24.24%,Lean R
SC-02,Joe Wilson*,Zyon Khalifa,R+13.1,96.95%,3.05%,Likely R
SC-03,Sheri Biggs*,Eunice Lehmacher,R+38.7,100.00%,0.00%,Safe R
SC-04,William Timmons*,Courtney McClain,R+17.8,99.45%,0.55%,Safe R
SC-05,Wes Climer,Mallory Dittmer,R+17.8,99.45%,0.55%,Safe R
SC-06,John Peterson,Jim Clyburn*,D+31.1,0.00%,100.00%,Safe D
SC-07,Russell Fry*,John Vincent,R+21.9,99.91%,0.09%,Safe R
SD-01,Marty Jackley,Nikki Gronli,R+25.0,99.98%,0.02%,Safe R
TN-01,Diana Harshbarger*,Democratic Nominee,R+49.8,100.00%,0.00%,Safe R
TN-02,Tim Burchett*,Michaela Barnett,R+30.9,100.00%,0.00%,Safe R
TN-03,Chuck Fleischmann*,Democratic Nominee,R+30.8,100.00%,0.00%,Safe R
TN-04,Republican Nominee,Democratic Nominee,R+18.8,99.64%,0.36%,Safe R
TN-05,Republican Nominee,Democratic Nominee,R+13.0,96.85%,3.15%,Likely R
TN-06,Republican Nominee,Democratic Nominee,R+20.7,99.84%,0.16%,Safe R
TN-07,Matt Van Epps*,Democratic Nominee,R+15.9,98.86%,1.14%,Safe R
TN-08,David Kustoff*,Democratic Nominee,R+18.4,99.58%,0.42%,Safe R
TN-09,Republican Nominee,Democratic Nominee,R+11.6,95.10%,4.90%,Likely R
TX-01,Nathaniel Moran*,Yolanda Prince,R+42.3,100.00%,0.00%,Safe R
TX-02,Steve Toth,Shaun Finnie,R+14.8,98.26%,1.74%,Likely R
TX-03,Keith Self*,Evan Hunt,R+19.3,99.71%,0.29%,Safe R
TX-04,Pat Fallon*,Jason Pearce,R+20.7,99.84%,0.16%,Safe R
TX-05,Lance Gooden*,Chelsey Hockett,R+17.1,99.27%,0.73%,Safe R
TX-06,Jake Ellzey*,Danny Minton,R+18.7,99.62%,0.38%,Safe R
TX-07,Alexander Hale,Lizzie Fletcher*,D+29.8,0.00%,100.00%,Safe D
TX-08,Jessica Hart Steinmann,Laura Jones,R+20.9,99.86%,0.14%,Safe R
TX-09,Alex Mealer,Leticia Gutierrez,R+11.3,94.68%,5.32%,Likely R
TX-10,Chris Gober,Caitlin Rourk,R+15.9,98.86%,1.14%,Safe R
TX-11,August Pfluger*,Claire Reynolds,R+29.8,100.00%,0.00%,Safe R
TX-12,Craig Goldman*,Angela Rodriguez Prilliman,R+20.6,99.84%,0.16%,Safe R
TX-13,Ronny Jackson*,Mark Nair,R+40.5,100.00%,0.00%,Safe R
TX-14,Randy Weber*,Thurman Bartie,R+20.6,99.84%,0.16%,Safe R
TX-15,Monica De La Cruz*,Bobby Pulido,R+2.2,62.23%,37.77%,Lean R
TX-16,Adam Bauman,Veronica Escobar*,D+27.3,0.00%,100.00%,Safe D
TX-17,Pete Sessions*,Casey Shepard,R+18.2,99.54%,0.46%,Safe R
TX-18,Ronald Whitfield,Christian Menefee*,D+59.3,0.00%,100.00%,Safe D
TX-19,Tom Sell,Kyle Rable,R+42.9,100.00%,0.00%,Safe R
TX-20,Edgardo Rafael Baez,Joaquin Castro*,D+38.8,0.00%,100.00%,Safe D
TX-21,Mark Teixeira,Kristin Hook,R+16.8,99.18%,0.82%,Safe R
TX-22,Trever Nehls,Marquette Greene-Scott,R+17.3,99.31%,0.69%,Safe R
TX-23,Brandon Herrera,Katy Padilla Stout,R+5.5,78.27%,21.73%,Likely R
TX-24,Beth Van Duyne*,Kevin Burge,R+11.0,94.18%,5.82%,Likely R
TX-25,Roger Williams*,Dione Sims,R+20.2,99.80%,0.20%,Safe R
TX-26,Brandon Gill*,Steven Shook,R+20.4,99.82%,0.18%,Safe R
TX-27,Michael Cloud*,Tanya Lloyd,R+17.6,99.39%,0.61%,Safe R
TX-28,Tano Tijerina,Henry Cuellar*,D+8.3,11.67%,88.33%,Likely D
TX-29,Martha Fierro,Sylvia Garcia*,D+42.7,0.00%,100.00%,Safe D
TX-30,Everett Jackson,Frederick Haynes III,D+52.6,0.00%,100.00%,Safe D
TX-31,John Carter*,Justin Early,R+20.4,99.82%,0.18%,Safe R
TX-32,Jace Yarbrough,Dan Barrios,R+12.3,96.06%,3.94%,Likely R
TX-33,Patrick Gillespie,Colin Allred,D+41.5,0.00%,100.00%,Safe D
TX-34,Eric Flores,Vicente Gonzalez*,D+2.8,34.56%,65.44%,Lean D
TX-35,Carlos De La Cruz,Johnny Garcia,R+2.3,62.98%,37.02%,Lean R
TX-36,Brian Babin*,Rhonda Hart,R+19.7,99.75%,0.25%,Safe R
TX-37,Lauren Peña,Greg Casar*,D+62.0,0.00%,100.00%,Safe D
TX-38,Jon Bonck,Melissa McDonough,R+15.5,98.67%,1.33%,Safe R
UT-01,Riley Owen,Ben McAdams,D+31.8,0.00%,100.00%,Safe D
UT-02,Blake Moore*,Peter Crosby,R+25.8,99.99%,0.01%,Safe R
UT-03,Celeste Maloy*,Kent Udell,R+42.8,100.00%,0.00%,Safe R
UT-04,Mike Kennedy*,Jonny Larsen,R+29.2,100.00%,0.00%,Safe R
VT-01,Republican Nominee,Becca Balint*,D+39.2,0.00%,100.00%,Safe D
VA-01,Rob Wittman*,Democratic Nominee,R+2.5,63.90%,36.10%,Lean R
VA-02,Jen Kiggans*,Democratic Nominee,D+2.4,36.37%,63.63%,Lean D
VA-03,Edwin Rivera,Bobby Scott*,D+43.7,0.00%,100.00%,Safe D
VA-04,Republican Nominee,Jennifer McClellan*,D+39.1,0.00%,100.00%,Safe D
VA-05,Republican Nominee,Democratic Nominee,R+8.9,89.87%,10.13%,Likely R
VA-06,Ben Cline*,Beth Macy,R+20.2,99.80%,0.20%,Safe R
VA-07,Republican Nominee,Eugene Vindman*,D+12.0,4.31%,95.69%,Likely D
VA-08,Tony Sabio,Democratic Nominee,D+53.1,0.00%,100.00%,Safe D
VA-09,Morgan Griffith*,Democratic Nominee,R+37.8,100.00%,0.00%,Safe R
VA-10,Republican Nominee,Suhas Subramanyam*,D+15.5,1.33%,98.67%,Safe D
VA-11,Arthur Purves,James Walkinshaw*,D+39.4,0.00%,100.00%,Safe D
WA-01,Mary Silva,Democratic Nominee,D+34.1,0.00%,100.00%,Safe D
WA-02,Republican Nominee,Democratic Nominee,D+33.0,0.00%,100.00%,Safe D
WA-03,Republican Nominee,Democratic Nominee,D+9.7,8.23%,91.77%,Likely D
WA-04,Republican Nominee,John Duresky,R+16.4,99.03%,0.97%,Safe R
WA-05,Michael Baumgartner*,Democratic Nominee,R+13.5,97.31%,2.69%,Likely R
WA-06,Teresa Fox,Emily Randall*,D+23.0,0.05%,99.95%,Safe D
WA-07,Nirav Sheth,Democratic Nominee,D+70.0,0.00%,100.00%,Safe D
WA-08,Republican Nominee,Democratic Nominee,D+15.5,1.35%,98.65%,Safe D
WA-09,Doug Basler,Democratic Nominee,D+49.3,0.00%,100.00%,Safe D
WA-10,Chris Chung,Democratic Nominee,D+23.6,0.04%,99.96%,Safe D
WV-01,Carol Miller*,Vince George,R+37.3,100.00%,0.00%,Safe R
WV-02,Riley Moore*,Ace Parsi,R+35.8,100.00%,0.00%,Safe R
WI-01,Bryan Steil*,Democratic Nominee,R+4.3,73.14%,26.86%,Lean R
WI-02,Republican Nominee,Mark Pocan*,D+44.3,0.00%,100.00%,Safe D
WI-03,Derrick Van Orden*,Rebecca Cooke,D+2.4,36.75%,63.25%,Lean D
WI-04,Purnima Nath,Gwen Moore*,D+55.1,0.00%,100.00%,Safe D
WI-05,Scott Fitzgerald*,Andrew Beck,R+21.2,99.88%,0.12%,Safe R
WI-06,Glenn Grothman*,Democratic Nominee,R+15.2,98.52%,1.48%,Safe R
WI-07,Republican Nominee,Democratic Nominee,R+17.1,99.27%,0.73%,Safe R
WI-08,Tony Wied*,Democratic Nominee,R+12.0,95.68%,4.32%,Likely R
WY-01,Republican Nominee,Democratic Nominee,R+37.9,100.00%,0.00%,Safe R
